Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	Loss	ClipFrac	Entropy	KL	Acc	MaxAcc	MinAcc	MaxTrialAcc	TestFinetuneAcc	TestFinetuneLoss	TestFinetuneParam	NumAlphaAdj	NumEstimations	NumEdgeTrav	NumIllegalEdgeTrav	NumAlphaAdjBeforeTrav	UniqueEdges	Time
49	3.8777907	0.2515658	4.347894	3.2533333	57.916668	0.018372126	0.11085785	0.8057301	0.011993751	0.28833333	0.65000004	0.0	0.37142858	0.0	2.875258	281.0	45.5	5.0	12.416667	0.0	3.6183407	5.625	130.01735711097717
50	3.743086	0.35715395	4.2675257	2.5470588	55.083332	0.025461307	0.11784928	0.8863017	0.023780813	0.2579832	0.5	0.0	0.325	0.25	2.6681945	231.0	43.791668	4.9583335	11.291667	0.0	3.8688564	5.7083335	129.95021271705627
51	3.9781225	0.25610822	4.5639215	3.3066666	36.708332	0.021444231	0.17428243	0.9157041	0.050532956	0.35041666	0.7	0.0	0.4590909	0.4	2.326951	227.0	24.875	5.0	11.833333	0.0	2.3133724	6.5	129.59498810768127
52	3.946193	0.30890587	4.487619	3.45	34.708332	0.0036612677	0.1828032	0.90939707	0.05870751	0.3379167	0.75	0.1	0.5071429	0.1	2.5151393	188.0	22.375	5.0	12.333333	0.0	2.0047615	6.0416665	119.59510922431946
53	3.8542163	0.30570677	4.58014	3.3714285	37.208332	0.014928237	0.19792025	0.8912213	0.08783057	0.35333335	0.75	0.05	0.51363635	0.45000002	2.143598	261.0	23.666666	5.0	13.541667	0.0	1.838966	6.0833335	124.73111581802368
54	3.8443203	0.32293132	4.445377	3.0	33.25	0.010104931	0.21677542	0.8761	0.112727694	0.31125	0.8	0.05	0.40555555	0.15	2.3614094	225.0	22.791666	5.0	10.458333	0.0	2.255771	5.75	118.88825345039368
55	3.8392372	0.28470862	4.366285	3.3882353	52.291668	0.012702793	0.19464357	0.84822464	0.12789951	0.35041666	0.65000004	0.1	0.45000002	0.1	2.6116946	173.0	38.0	5.0	14.291667	0.0	2.622859	5.6666665	122.85742402076721
56	3.8426106	0.31748363	4.362652	2.7166667	92.458336	0.021519268	0.116422	1.0313618	0.059398502	0.3361345	0.65000004	0.05	0.45	0.3	2.4218287	185.0	73.583336	4.9583335	18.875	0.0	3.7797444	5.5	122.51573824882507
57	4.066303	0.22205333	4.3778076	3.678788	59.833332	-0.0044343127	0.17494063	1.2544185	0.03716494	0.3945833	0.75	0.0	0.53888893	0.35	2.2738023	158.0	46.0	5.0	13.833333	0.0	3.306132	5.6666665	122.14341425895691
58	3.9760342	0.25601965	4.461758	3.3777778	60.166668	-0.0008317518	0.19826007	1.2371234	0.04090127	0.36833334	0.8	0.0	0.49	0.1	2.412953	211.0	47.083332	5.0	13.083333	0.0	3.6043923	5.5833335	120.460932970047
59	3.9745066	0.2668082	4.441758	3.490909	75.416664	-0.008510158	0.16986106	1.2347733	0.030178716	0.3754167	0.75	0.0	0.46666664	0.3	2.25361	115.0	60.875	5.0	14.541667	0.0	4.6724715	5.625	121.35817885398865
60	3.9331715	0.22363241	4.2687783	3.56	75.25	-0.012320027	0.18048163	1.210363	0.041622777	0.38000003	0.75	0.05	0.49166667	0.25	2.413701	225.0	62.333332	5.0	12.916667	0.0	4.933503	5.2083335	123.75495481491089
