Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	Acc	MaxAcc	MinAcc	MaxTrialAcc	MaxMaxTrialAcc	MinMaxTrialAcc	TestFinetuneAcc	TestFinetuneLoss	TestFinetuneParam	NumAlphaAdj	NumEstimations	NumEdgeTrav	NumIllegalEdgeTrav	NumAlphaAdjBeforeTrav	UniqueEdges	Time
39	3.0173225	1.362993	4.2066665	0.0	134.08333	0.26989797	0.6	0.05	0.38333333	0.6	0.1	0.1	2.4666924	266.0	124.708336	4.0833335	9.375	0.0	9.085222	5.2083335	150.61091685295105
40	3.413163	1.0913742	4.243108	0.0	126.875	0.2598131	0.5	0.05	0.32999998	0.5	0.1	0.15	2.648787	269.0	116.541664	4.4583335	10.333333	0.0	11.938546	5.7083335	154.83257699012756
41	2.9311192	1.2628677	4.6968327	0.0	139.83333	0.34789476	0.7	0.1	0.41875	0.7	0.15	0.1	2.9283576	237.0	131.58333	3.9583333	8.25	0.0	10.631103	4.9166665	148.40117359161377
42	3.315305	0.9695991	4.347164	0.0	127.291664	0.32943925	0.6	0.1	0.4111111	0.6	0.2	0.2	2.4896297	209.0	117.5	4.4583335	9.791667	0.0	9.561758	5.625	155.51924753189087
43	3.071296	1.243649	4.3436193	0.0	141.20833	0.3165	0.7	0.05	0.4277778	0.7	0.15	0.35	2.183366	200.0	132.0	4.1666665	9.208333	0.0	10.861011	5.0416665	149.855286359787
44	3.0770075	1.371838	4.697436	0.0	121.791664	0.32929295	0.85	0.0	0.55714285	0.85	0.25	0.2	2.3071108	228.0	113.166664	4.125	8.625	0.0	9.874869	5.25	146.67609167099
45	3.2650177	1.2276692	4.4133334	0.49411765	131.29167	0.33676475	0.7	0.0	0.48333335	0.7	0.15	0.2	2.6025445	190.0	121.75	4.25	9.541667	0.0	15.724246	5.4166665	150.9358570575714
46	3.4404824	0.9622693	4.552727	0.6	116.5	0.33558562	0.75	0.1	0.47083333	0.75	0.2	0.25	2.2959046	196.0	104.625	4.625	11.875	0.0	7.661203	6.1666665	160.04901385307312
47	3.1070073	1.1046866	4.3229823	0.2	130.875	0.32794118	0.6	0.1	0.40500003	0.6	0.15	0.25	2.4181457	252.0	121.166664	4.25	9.708333	0.0	7.7405496	5.5416665	152.99332070350647
48	3.174078	1.2506204	4.5329456	0.2	142.70833	0.29950494	0.6	0.0	0.34444442	0.6	0.2	0.15	2.5825684	204.0	134.0	4.2083335	8.708333	0.0	15.119189	5.1666665	149.05165553092957
49	3.285658	1.2987134	4.2594004	0.2	122.791664	0.3195238	0.7	0.05	0.32500002	0.7	0.05	0.35	2.3459096	178.0	112.833336	4.375	9.958333	0.0	9.63907	5.4166665	152.48226308822632
50	3.279972	0.9010234	4.3575163	1.0	143.91667	0.32264152	0.65000004	0.05	0.45000002	0.65000004	0.15	0.2	2.4368052	181.0	133.75	4.4166665	10.166667	0.0	12.592659	5.5416665	153.6174280643463
51	2.6215003	1.4315948	4.8646464	0.2	146.875	0.3713483	0.8	0.05	0.5642857	0.8	0.25	0.3	2.3338265	227.0	138.79167	3.7083333	8.083333	0.0	13.909831	4.4166665	143.06782937049866
52	3.7636795	0.59358263	4.4057145	1.9333333	124.875	0.34051725	0.65000004	0.05	0.41875002	0.65000004	0.15	0.35	2.4726262	201.0	115.458336	4.8333335	9.416667	0.0	11.575134	5.7083335	162.67995810508728
53	3.1018093	1.3086987	4.8294506	0.0	153.0	0.35714287	0.8	0.05	0.48333338	0.8	0.25	0.35	2.3439665	201.0	144.04167	4.0833335	8.958333	0.0	15.068234	5.1666665	149.29740285873413
54	2.8854625	1.3267945	4.1570587	0.0	135.58333	0.28440863	0.55	0.05	0.4	0.55	0.2	0.25	2.4284425	221.0	126.333336	3.875	9.25	0.0	11.602794	4.8333335	141.9777901172638
55	3.092151	1.1568828	4.507094	0.6	154.04167	0.34900993	0.7	0.05	0.4625	0.7	0.2	0.2	2.5401294	232.0	142.875	4.2083335	11.166667	0.0	11.352387	5.9583335	153.3245620727539
