Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	Loss	ClipFrac	Entropy	KL	Acc	MaxAcc	MinAcc	MaxTrialAcc	TestFinetuneAcc	TestFinetuneLoss	TestFinetuneParam	NumAlphaAdj	NumEstimations	NumEdgeTrav	NumIllegalEdgeTrav	NumAlphaAdjBeforeTrav	UniqueEdges	Time
49	3.8432858	0.28076604	4.3357143	3.1509523	77.666664	0.014256074	0.18370466	1.3567616	0.0528208	0.36428574	0.65000004	0.0	0.5	0.15	2.3837774	142.0	59.541668	4.9583335	18.125	0.0	3.252571	5.3333335	174.19395112991333
50	3.9378922	0.19839135	4.380806	3.6215384	45.083332	-0.010039321	0.2554659	1.3671365	0.08813801	0.3320833	0.7	0.05	0.4166667	0.15	2.4330342	151.0	32.458332	5.0	12.625	0.0	2.7238598	5.8333335	172.92177391052246
51	3.931588	0.21424842	4.3221464	3.45	57.25	-0.0002835806	0.27126977	1.3667053	0.10771799	0.33541667	0.65000004	0.05	0.4166667	0.4	2.159009	120.0	42.166668	5.0	15.083333	0.0	2.9778016	5.5	174.1840009689331
52	3.8353121	0.3918867	4.47571	2.9583194	68.083336	9.5813535e-05	0.23344494	1.3877878	0.101140894	0.3470588	0.65000004	0.05	0.4857143	0.25	2.334724	115.0	53.541668	4.9583335	14.541667	0.0	3.762703	5.7083335	172.5223662853241
53	3.824042	0.32428548	4.3390474	3.024812	65.25	-0.0004815428	0.26039878	1.4140105	0.12797542	0.3773109	0.75	0.05	0.53000003	0.3	2.233824	105.0	51.791668	4.9583335	13.458333	0.0	3.8981826	5.625	170.85084462165833
54	3.9795983	0.21312642	4.4579186	3.5958042	64.625	0.00090237294	0.28265226	1.431242	0.16400029	0.37125003	0.65000004	0.05	0.45555556	0.3	2.248631	92.0	50.375	5.0	14.25	0.0	3.6145742	5.5833335	168.1471025943756
55	3.8821323	0.27927715	4.2917457	3.0888042	72.208336	-0.0048679155	0.255324	1.4350926	0.14328088	0.344958	0.7	0.05	0.5	0.25	2.7217574	109.0	58.708332	4.9583335	13.5	0.0	4.4107423	5.2916665	174.97798085212708
56	3.9237928	0.311716	4.6153846	3.2727273	91.666664	0.008774392	0.16399811	1.4647976	0.05603969	0.36833337	0.75	0.0	0.56666666	0.3	2.5344846	87.0	72.0	5.0	19.666666	0.0	3.7135315	5.625	175.5183961391449
57	3.6398535	0.67348456	4.433459	1.6666666	113.875	0.026746377	0.117083766	1.4567131	0.01848346	0.33552635	0.7	0.0	0.435	0.35	2.0978613	133.0	89.875	4.75	24.0	0.0	4.0323415	5.0	178.73519325256348
58	3.808403	0.4559868	4.3848486	2.4222221	106.5	0.013643049	0.17856787	1.8290354	0.055059236	0.35811964	0.85	0.0	0.46818182	0.25	2.3708339	174.0	84.083336	4.875	22.416666	0.0	3.8540394	5.1666665	178.4366865158081
59	3.8402596	0.3001663	4.4373074	2.9857142	97.875	0.0063894703	0.20966762	1.8153214	0.07176319	0.33529407	0.65000004	0.05	0.4375	0.3	2.204807	158.0	79.958336	4.9583335	17.916666	0.0	4.752808	5.2083335	178.2357189655304
60	3.9671414	0.21883647	4.4711113	3.3882353	83.333336	0.009351317	0.2235434	1.7733396	0.07317552	0.36208332	0.65000004	0.1	0.525	0.3	2.2819607	128.0	70.833336	5.0	12.5	0.0	5.8120313	5.2916665	174.37047743797302
61	3.872307	0.34860575	4.316426	2.7619047	84.083336	0.0011078436	0.27720785	1.7848827	0.10189969	0.34411767	0.7	0.05	0.5	0.25	2.2178845	167.0	71.875	4.9583335	12.208333	0.0	6.337044	5.2916665	172.54937887191772
62	3.716305	0.7305118	4.6366262	1.6	123.458336	0.028460667	0.19290866	1.7754945	0.07512617	0.4013158	0.7	0.05	0.51875	0.35	1.9759245	175.0	112.25	4.75	11.208333	0.0	10.076362	4.8333335	175.73142623901367
63	3.4362838	0.68064874	4.5313106	2.2470589	150.20833	0.05156666	0.15110606	1.7189199	0.049825594	0.3636363	0.7	0.1	0.5357143	0.2	2.6179428	177.0	139.25	4.5833335	10.958333	0.0	12.4917145	4.7916665	179.45493340492249
